particle_id,area_pixels,area_um2,diameter_um,overlap_area_pixels,overlap_area_um2,overlap_percentage,has_fluorescence,centroid_x,centroid_y,centroid_x_um,centroid_y_um
355,47.0,0.56347484748575,0.8470173895986266,0,0.0,0.0,False,172.06382978723406,549.468085106383,18.839870946808514,60.16318377659575
356,240.0,2.8773183701400002,1.9140312253605412,0,0.0,0.0,False,30.575,542.6958333333333,3.3477637625,59.421666227083335
357,48.0,0.575463674028,0.8559807861926778,0,0.0,0.0,False,169.9375,547.7708333333334,18.60705165625,59.97734573958334
358,297.0,3.5606814830482505,2.1292253216659054,0,0.0,0.0,False,34.074074074074076,542.026936026936,3.73088962962963,59.348426319865325
359,111.0,1.3307597461897502,1.3016819632270082,0,0.0,0.0,False,890.5045045045046,552.1891891891892,97.50445496396398,60.46112698648649
360,115.0,1.3787150523587501,1.324928120912516,0,0.0,0.0,False,138.15652173913043,567.7652173913043,15.127241113043478,62.16660083043478
361,40.0,0.47955306169000006,0.7813999756478939,0,0.0,0.0,False,742.825,553.7,81.3345091375,60.62655095000001
362,60.0,0.7193295925350001,0.9570156126802706,0,0.0,0.0,False,881.5,554.3666666666667,96.51852025000001,60.69954661666667
363,1196.0,14.338636544531001,4.272764803506228,1,0.011988826542250001,0.08361204013377926,False,1018.8720735785953,544.8520066889632,111.55986938837793,59.657753194398
364,77.0,0.9231396437532501,1.084148467572301,0,0.0,0.0,False,140.74025974025975,565.8701298701299,15.41014362987013,61.95910106493507
365,84.0,1.0070614295490001,1.1323561436576883,0,0.0,0.0,False,701.4047619047619,555.3333333333334,76.79926229761905,60.80539033333334
366,6618.0,79.34205405661051,10.05094228345738,0,0.0,0.0,False,71.05726805681475,558.6736174070717,7.780308979978846,61.17112972756121
367,1637.0,19.625709049663254,4.998822746957328,0,0.0,0.0,False,155.87538179596822,565.6316432498472,17.067341116676847,61.93298833017715
368,881.0,10.562156183722252,3.6671726071708437,0,0.0,0.0,False,1028.8910329171397,569.8955732122588,112.65688031271284,62.399860945516465
369,75.0,0.8991619906687501,1.0699759827408473,0,0.0,0.0,False,705.5866666666667,561.5866666666667,77.25715368666667,61.49008968666667
370,93.0,1.11496086842925,1.191474829157704,0,0.0,0.0,False,873.0215053763441,561.7956989247311,95.59018019892474,61.512977360215054
